BDM编码,岗位编码,ExternalId
1496,AH131011002,AH131011002AH131011002
10836,JS131011017,JS131011017JS131011017
21001,JS131011005,JS131011005JS131011005
10564,JS131011006,JS131011006JS131011006
10569,JS131011025,JS131011025JS131011025
10581,JS131011025,JS131011025JS131011025
10583,JS131011023,JS131011023JS131011023
10584,JS131011004,JS131011004JS131011004
10585,JS131011002,JS131011002JS131011002
10586,JS131011006,JS131011006JS131011006
10587,JS131011006,JS131011006JS131011006
10589,JS131011001,JS131011001JS131011001
10592,JS131011024,JS131011024JS131011024
10593,JS131011024,JS131011024JS131011024
10594,JS131011024,JS131011024JS131011024
10598,JS131011004,JS131011004JS131011004
10600,JS131011004,JS131011004JS131011004
31541,JS131011023,JS131011023JS131011023
10603,JS131011003,JS131011003JS131011003
10606,JS131011007,JS131011007JS131011007
21141,JS131011002,JS131011002JS131011002
10607,JS131011023,JS131011023JS131011023
10608,JS131011024,JS131011024JS131011024
Temp017,JS131011025,JS131011025JS131011025
10613,JS131011024,JS131011024JS131011024
10620,JS131011023,JS131011023JS131011023
10621,JS131011004,JS131011004JS131011004
10658,JS131011012,JS131011012JS131011012
10666,JS131011012,JS131011012JS131011012
10668,JS131011012,JS131011012JS131011012
10671,JS131011012,JS131011012JS131011012
10676,JS131011012,JS131011012JS131011012
10677,JS131011012,JS131011012JS131011012
14106,SD131011004,SD131011004SD131011004
14119,SD131011001,SD131011001SD131011001
10683,JS131011012,JS131011012JS131011012
14137,SD131011001,SD131011001SD131011001
14154,SD131011001,SD131011001SD131011001
14174,SD131011001,SD131011001SD131011001
14176,SD131011003,SD131011003SD131011003
14178,SD131011001,SD131011001SD131011001
14179,SD131011001,SD131011001SD131011001
14181,SD131011003,SD131011003SD131011003
14183,SD131011003,SD131011003SD131011003
14186,SD131011002,SD131011002SD131011002
Temp009,SD131011002,SD131011002SD131011002
14195,SD131011002,SD131011002SD131011002
14197,SD131011002,SD131011002SD131011002
14199,SD131011003,SD131011003SD131011003
14249,SD131011003,SD131011003SD131011003
